"","siderite","FeS","Viv","CaCO3","Apatite","MnCO3"
"447",0.031055181868724,62.447198928046,33.0215754241011,0.148169385068079,1198.2551099082,0.0481486639466946
"448",0.0307397870972615,61.9219579071332,32.4767499041652,0.147162562880605,1192.51889417887,0.0482694481978065
"449",0.0304108834775837,61.3670252848521,31.9219747280754,0.146155291151979,1186.71716065897,0.0483852977478611
"450",0.030102246911895,60.8574309469824,31.3915412169095,0.14518580918175,1180.82626934426,0.0485089492211623
"451",0.0297980226496012,60.3573685665553,30.8692105139846,0.144235032741025,1174.86099027545,0.0486342661028766
"452",0.0294758603568775,59.8150127369473,30.333092192323,0.143261792974933,1168.84889490056,0.0487473657444151
"453",0.0291792636171684,59.328292519009,29.8259588668001,0.142331270082575,1162.74862947249,0.0488703927380514
"454",0.0288881684235106,58.8510102641616,29.3274783667327,0.141419937937027,1156.57743384551,0.0489955466676841
"455",0.0285879936516072,58.343715048766,28.8226163378117,0.140506318840063,1150.35344185649,0.0491154540327222
"456",0.0283028389531099,57.8608672627324,28.3349295410918,0.139618411476377,1144.05874835145,0.0492399372433798
"457",0.0280342621874523,57.4062434697107,27.8657547440858,0.138756598025668,1137.69473218835,0.0493693332644178
"458",0.0277433304907367,56.8924230676275,27.3777261071917,0.137877672834064,1131.29164551202,0.0494883294687582
"459",0.027473625929069,56.4178367989442,26.9126485018845,0.137030876562948,1124.81862225667,0.0496145693393925
"460",0.0272091893682633,55.9466883397819,26.4551975739938,0.136197731885404,1118.28925928521,0.0497415687567567
"461",0.0269338897923341,55.4428055532418,25.9903309586808,0.135360132095385,1111.71736761192,0.049862748276942
"462",0.0266725304397819,54.9624308419921,25.5413169296057,0.134546080047474,1105.08636891347,0.0499884454593462
"463",0.0264144254993096,54.4817117762302,25.0981195377438,0.133744494266875,1098.40541577691,0.0501146995234475
"464",0.0261602697696803,54.0032238866248,24.6614524120094,0.132954904612306,1091.67760053882,0.050241421510827
"465",0.025924311665478,53.5585495033731,24.2442304344295,0.132194022872002,1084.89676100252,0.0503750652894405
"466",0.0256719490480528,53.0695031105179,23.8152324569417,0.131421683535477,1078.09333606189,0.0505004314340795
"467",0.025420428063206,52.5761697845321,23.3902599371259,0.130657319981948,1071.25843629009,0.0506249178647468
"468",0.025193814015634,52.1322239189954,22.9906193828852,0.129927987354531,1064.37851694471,0.0507591517114476
"469",0.0249409360380516,51.623072428063,22.5711301084692,0.129176453602005,1057.49331858084,0.0508808913236361
"470",0.0247194649226202,51.1792676577072,22.182478951551,0.128467399283877,1050.56626577375,0.0510155971144822
"471",0.0244788597817053,50.6858998526931,21.7806139849811,0.127744404297488,1043.63597708127,0.0511410600632234
"472",0.0242493690985025,50.2123157485815,21.3918257587818,0.127041207615997,1036.68453852375,0.0512707479436932
"473",0.0240276156570154,49.750200362451,21.0130784391582,0.126354207535277,1029.71678281461,0.0514033690519199
"474",0.0238140724552387,49.3014896319207,20.6447182163818,0.125683039190305,1022.73711076165,0.0515389104063837
"475",0.0235984868068876,48.8432449301655,20.2781548789622,0.12501629099584,1015.7572986829,0.0516727858635561
"476",0.0233826541098183,48.3796530038289,19.9149860338325,0.12435631225159,1008.77979527445,0.0518059985231988
"477",0.0231723106970386,47.9238260957579,19.5599472819119,0.12370967902843,1001.80334827303,0.0519413604357711
"478",0.022975887521712,47.4947407297649,19.2198221094105,0.123084989979324,994.826371221373,0.052082624894724
"479",0.022769428545766,47.0386542698812,18.8752066600848,0.122455178401856,987.869553083147,0.0522184422448369
"480",0.0225675346209986,46.5884356629605,18.5379934687727,0.121835438511097,980.927009411023,0.0523552782267764
"481",0.0223710305091736,46.1462341696578,18.2087365721591,0.121228357401295,974.000211836071,0.0524943386744516
"482",0.0221684077281508,45.6863708295771,17.8783985670874,0.120620806706811,967.099647123434,0.0526300056334374
"483",0.0219956764746105,45.2893892791891,17.5749892877106,0.120052659455247,960.206283595191,0.052779796406132
"484",0.0217941030250629,44.8241771850324,17.2530434578433,0.119457855335362,953.364765810687,0.0529148141657538
"485",0.0216106984026367,44.395838690476,16.9488392324859,0.118889927917391,946.548233522334,0.0530586811536009
"486",0.0214305783481826,43.9713052167906,16.6508620671759,0.118332675931954,939.770563374438,0.0532043673540176
"487",0.0212475243676413,43.5368332444642,16.3544916644614,0.117779039518286,933.041225146281,0.0533487682426076
"488",0.0210639596851229,43.0986511482954,16.061636311897,0.117230737498245,926.362966943671,0.0534926953936158
"489",0.0208922065150475,42.6833640395046,15.7813155277771,0.1167022726659,919.731148089132,0.0536428622772819
"490",0.0207258936680265,42.2768920863129,15.5087450464316,0.116186382807097,913.155462670108,0.053796093983802
"491",0.0205466025402607,41.8388002466974,15.2306902328239,0.115661877014112,906.653107367157,0.0539426210377437
"492",0.020382247498518,41.4313330040424,14.9672153275163,0.115160792196457,900.209070348875,0.0540974035038039
"493",0.0202209782282778,41.028398082763,14.7097331257838,0.11466887353577,893.834898848346,0.0542539239071226
"494",0.0200537333178888,40.6095629818092,14.4518975029716,0.114175637918696,887.539846429305,0.0544072698291884
"495",0.0198911698227888,40.198923691576,14.2011441685355,0.11369333201728,881.318029318838,0.0545633011414416
"496",0.0197330415250019,39.7960058032476,13.9571707004968,0.113221531546478,875.16938771547,0.0547219189039266
"497",0.0195820044650376,39.4066206370818,13.7216356881643,0.112764047211645,869.092077186272,0.0548850791190589
"498",0.0194430848082944,39.0415976284554,13.4977782683838,0.112325894003675,863.085223553771,0.0550553779915908
"499",0.0192874275596307,38.6380036323871,13.2661801186246,0.111875341444256,857.168398909296,0.0552173388921854
"500",0.019135783785391,38.2414862674575,13.0407476235177,0.111435553281296,851.327105703657,0.0553823450082354
"501",0.018988209793316,37.8516028223435,12.8213309724271,0.111007369237623,845.557129636219,0.0555509247493704
"502",0.0188440711922524,37.4676772149786,12.6073577300842,0.110590163517703,839.855481679218,0.0557228792614329
"503",0.0187098766609016,37.1036061975509,12.4028737951857,0.110190886809855,834.216225326939,0.0559018448478857
"504",0.0185677814030842,36.7213749141397,12.1963334985546,0.109788952282836,828.648775553347,0.0560774845433769
"505",0.0184326457382434,36.3526495735378,11.9971439756818,0.109400877742759,823.141092654274,0.0562582638570966
"506",0.0183002374753451,35.988537945983,11.8024441446341,0.109023190606677,817.691735906527,0.0564425255595007
"507",0.0181763044886415,35.6411110589961,11.6156783547025,0.108662130538535,812.295057461015,0.0566336266043748
"508",0.018035714447296,35.2575880502221,11.4212513079493,0.108289632927275,806.962623948751,0.0568170092768531
"509",0.017911643563066,34.9078307745247,11.239428312241,0.107943708176373,801.668119542074,0.0570126343147979
"510",0.017792650868429,34.5676503966165,11.0629874382753,0.107610975347489,796.41419961022,0.0572136628979203
"511",0.0176667033287057,34.2120515531658,10.8846270588364,0.107277693693568,791.205181514992,0.0574128756312936
"512",0.0175482803378477,33.8711709659458,10.712927483207,0.106959827070462,786.028260938918,0.0576188674738854
"513",0.0174211526193738,33.5116046135198,10.5381592540381,0.106640947666408,780.886639163115,0.0578228919559737
"514",0.0173159859240376,33.1965126327528,10.3781480305758,0.106354495634296,775.757245661835,0.0580431930728992
"515",0.0172055047339031,32.8696303692817,10.2168572536768,0.106069749992159,770.654188114108,0.058263234341929
"516",0.0170833699190027,32.5183306696696,10.0507002364641,0.105780428758398,765.577412409924,0.0584795599431876
"517",0.0169774288586367,32.1993415131365,9.89545608688936,0.105516956452215,760.504050224307,0.0587090555922907
"518",0.0168724056942261,31.8821529101149,9.74226978262109,0.105262568718095,755.437934316233,0.0589426092346329
"519",0.0167686599186284,31.5669600813271,9.59126199917655,0.105018591091891,750.375039747155,0.0591810656012457
"520",0.0166730701252837,31.2680515280731,9.44616188651355,0.104790985390954,745.30896734559,0.0594279188082861
"521",0.0165678400766781,30.9498523718088,9.29712935854335,0.104561334217611,740.246434780188,0.0596728327624344
"522",0.0164684074238489,30.6433069182859,9.15253048569554,0.104347383184575,735.173074007501,0.0599259815181274
"523",0.016374452614351,30.347656638363,9.01205156422278,0.104148020682345,730.084125959719,0.060186895546173
"524",0.016285314702279,30.0615503698399,8.8752224778574,0.103962769783895,724.977079453652,0.0604554575093382
"525",0.0161908546982432,29.7644120374872,8.73664484036611,0.10378111412666,719.855147058186,0.0607256682453401
"526",0.0161036027945795,29.4815099101995,8.60283637485307,0.103616776550055,714.707898991449,0.0610056515187013
"527",0.0160123990903442,29.1910083918872,8.46792326439935,0.103458519138143,709.537409325884,0.0612889417828902
"528",0.0159347347674784,28.9263074283113,8.34078393814303,0.103325809688801,704.330644800966,0.0615872156431961
"529",0.0158535430392617,28.6547963671414,8.2126641506198,0.103198962620378,699.096267743345,0.0618889489865528
"530",0.0157711889583249,28.3805197684068,8.08477864125743,0.103080858874358,693.831515219098,0.0621959491745057
"531",0.0156926006450131,28.1135229058537,7.95954635428265,0.102976270401562,688.531137991628,0.0625112157331231
"532",0.0156194725751373,27.8569098353862,7.83772198411788,0.102887139241851,683.192900161724,0.0628360898582466
"533",0.0155510872337425,27.6092955190794,7.71888695509925,0.102813819459338,677.818506313566,0.0631709649629301
"534",0.0154746553893412,27.3465615187324,7.59691779137848,0.102742863111646,672.416753094993,0.0635077080636498
"535",0.0154124999471254,27.1106078266178,7.48245562547745,0.102697507720584,666.976903815261,0.063860804349612
"536",0.0153357524474502,26.8473635052775,7.3618888412803,0.102646391281691,661.515646239243,0.0642109243928923
"537",0.0152740495641551,26.6120844065555,7.24905394296474,0.10262173208224,656.01654542986,0.064578289755209
"538",0.0152081030985755,26.3688486393048,7.13497394129287,0.102602491061235,650.490658068549,0.0649498846091454
"539",0.0151471691451559,26.1348131417741,7.02388393954594,0.102599236006087,644.934402748435,0.0653325082936415
"540",0.015092250614106,25.911566978941,6.91619632558102,0.102611929741282,639.350225858258,0.0657263252865239
"541",0.015034822604784,25.6835995481239,6.80811632095575,0.102632827703416,633.746662883272,0.0661265328047019
"542",0.0149796494398907,25.4596312441498,6.70176932990587,0.102668658673148,628.124288061347,0.0665375937696759
"543",0.0149300317718432,25.245469156553,6.59858397359054,0.102721546299758,622.484902498561,0.0669610715789176
"544",0.0148753935718808,25.0221442322123,6.49403300012297,0.102780731478757,616.836922936853,0.0673901144418312
"545",0.0148232432184385,24.8030969886555,6.39134181626031,0.102853879094388,611.177292227036,0.0678298607190774
"546",0.0147765908011644,24.5936038258951,6.29170922733345,0.102944651406248,605.504387414905,0.0682829110416523
"547",0.0147328426225627,24.3889114994851,6.19401606138619,0.103049780994396,599.821174298843,0.0687472986139361
"548",0.0146877787082666,24.1816252251981,6.09653336719039,0.103165086696803,594.131047537561,0.0692203940604896
"549",0.0146401450163095,23.9696241302988,5.99877537917011,0.103288762549225,588.433323396795,0.0697011086083663
"550",0.0146102070862271,23.7879114045358,5.90869745286954,0.103443048962106,582.716326605551,0.0702046477728606
"551",0.0145689159812651,23.5861769704402,5.81483238843807,0.103596298091252,576.996943350813,0.0707097744600371
"552",0.0145327762966426,23.3929102070547,5.72363574506406,0.103767066342904,571.266288183627,0.0712292290425935
"553",0.0145016065816852,23.2076980534093,5.63494327712217,0.103955895699274,565.523120632638,0.0717636037114887
"554",0.0144724798403951,23.0254058866856,5.5476126718773,0.104158628346634,559.769963535025,0.0723102364105231
"555",0.0144388578837844,22.8356283641557,5.4592194747819,0.104368670062786,554.01010137315,0.0728647000689966
"556",0.0144111373067071,22.6558654747923,5.37355873209857,0.104597986873736,548.236178108902,0.0734354979275944
"557",0.0143859768721812,22.4798463539575,5.28932666440496,0.104844385870367,542.447939870862,0.074021324308861
"558",0.0143618549119681,22.3055579746653,5.20595384548888,0.105104837253831,536.64519560813,0.074620245874907
"559",0.014348272731167,22.1484613420332,5.12670785508164,0.105389842823321,530.822956004414,0.0752399432121943
"560",0.0143219431150907,21.9698845278947,5.04349440553925,0.105674345015332,524.992287454962,0.0758627337535916
"561",0.0143025907905305,21.8021130777948,4.96307595997789,0.105980259047389,519.138203044739,0.0765044509102503
"562",0.0142838925828055,21.6347699502541,4.88319264010083,0.106301308726211,513.257017105456,0.0771608130251349
"563",0.0142733527731914,21.4798245250931,4.80623400013598,0.106646170857785,507.340092701116,0.0778383535700701
"564",0.0142550614080298,21.3118418931853,4.72693831578766,0.106997597438654,501.390709635748,0.0785247183222627
"565",0.0142496926638392,21.163576096558,4.65190057858871,0.107378559104165,495.393175710253,0.0792369582014201
"566",0.0142399569492219,21.0077237186194,4.57551935981921,0.107771243318942,489.351996923234,0.0799622325612919
"567",0.0142331869662546,20.8562961401727,4.50008004746315,0.108182719913688,483.259855117686,0.080705978812072
"568",0.0142308051741687,20.710873915037,4.42592592881556,0.108615831600534,477.111628804542,0.081470579014381
"569",0.0142240893283283,20.5579686427969,4.35037430770416,0.109062024954139,470.907106819707,0.0822498675910863
"570",0.0142227871369293,20.4125050021666,4.27628580472339,0.109530845324749,464.635791392647,0.0830512659498263
"571",0.0142252788476464,20.2723695959245,4.20308500343795,0.110019360145297,458.293440372017,0.0838728393270516
"572",0.0142245897364889,20.1271029034507,4.12871655786617,0.110521696760808,451.878845895179,0.0847103521852761
"573",0.0142319861913399,19.9929262083998,4.05630786164392,0.111049467860445,445.382392856533,0.0855729490262484
